"recipe_category","recipe_page_no","recipe_path","recipe_name"
"japanese","1","31400"," chi chi dango mochi "
"japanese","1","14024"," soba with toasted sesame seed sauce "
"japanese","1","99322"," quick sesame green beans "
"japanese","1","71160"," quick oyakodon "
"japanese","1","8628"," yakisoba chicken "
"japanese","1","217114"," tofu hiyayakko "
"japanese","1","99211"," perfect sushi rice "
"japanese","1","50939"," yakitori chicken "
"japanese","1","71698"," sesame seared tuna "
"japanese","1","202463"," shoyu chicken "
"japanese","1","72068"," chicken katsu "
"japanese","1","8628"," yakisoba chicken "
"japanese","1","87590"," japanese style sesame green beans "
"japanese","1","25711"," washabinaros chili "
"japanese","1","71698"," sesame seared tuna "
"japanese","1","13107"," miso soup "
"japanese","1","99211"," perfect sushi rice "
"japanese","1","15177"," famous japanese restaurant style salad dressing "
"japanese","1","14050"," cucumber sunomono "
"japanese","1","127500"," japanese style deep fried shrimp "
"japanese","1","139027"," teriyaki sauce and marinade "
"japanese","1","83087"," oriental cold noodle salad "
"japanese","1","137596"," mom s sushi rice "
"japanese","1","212636"," japanese beef stir fry "
"japanese","1","14024"," soba with toasted sesame seed sauce "
"japanese","1","24228"," sushi roll "
"japanese","1","27190"," gyoza "
"japanese","1","47022"," glo s sausage fried rice "
"japanese","1","53655"," green tea layer cake "
"japanese","2","99322"," quick sesame green beans "
"japanese","2","24381"," japanese ginger salad dressing "
"japanese","2","58793"," tonkatsu   asian style pork chop "
"japanese","2","42231"," sesame crusted mahi mahi with soy shiso ginger butter sauce "
"japanese","2","38849"," japanese shrimp sauce i "
"japanese","2","43628"," oyako donburi "
"japanese","2","205616"," yum yum sauce "
"japanese","2","49278"," japanese onion soup "
"japanese","2","75981"," ashley s chicken katsu with tonkatsu sauce "
"japanese","2","19511"," smoked salmon sushi roll "
"japanese","2","128589"," oyakodon  japanese chicken and egg rice bowl  "
"japanese","2","230764"," chicken yakisoba "
"japanese","2","162361"," gyoza sauce "
"japanese","2","27953"," yakitori don "
"japanese","2","25338"," agedashi esque tofu "
"japanese","2","31400"," chi chi dango mochi "
"japanese","2","107586"," teriyaki rib eye steaks "
"japanese","2","190094"," miso and soy chilean sea bass "
"japanese","2","28179"," japanese style deep fried chicken "
"japanese","2","90253"," pumpkin mochi "
"japanese","3","99392"," japanese okonomiyaki "
"japanese","3","93280"," japanese cheesecake "
"japanese","3","43486"," microwave mochi "
"japanese","3","99204"," cucumber and avocado sushi "
"japanese","3","189477"," california roll sushi "
"japanese","3","106227"," miso salmon "
"japanese","3","54259"," japanese shrimp sauce ii "
"japanese","3","77437"," japanese potsticker dip "
"japanese","3","17748"," teriyaki sauce "
"japanese","3","99795"," okonomiyaki "
"japanese","3","150135"," japanese style cabbage salad "
"japanese","3","14209"," shieldzini "
"japanese","3","70763"," home rice "
"japanese","3","140422"," onigiri   japanese rice balls "
"japanese","3","222426"," lucy s quick tonkatsu sauce "
"japanese","3","50939"," yakitori chicken "
"japanese","3","99219"," dynamite sauce "
"japanese","3","116066"," miso braised pork "
"japanese","3","169856"," cream cheese and crab sushi rolls "
"japanese","3","88049"," yummylicious japanese beef croquettes "
